code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,density
sh.600095,2017-04-19,25.1041,2017-05-03,27.5068,MA,10,0.09571,0.091738,29
sh.600095,2017-05-25,20.156,2017-06-12,23.6398,MA,11,0.17284,0.16884,105
sh.600095,2018-06-21,11.2126,2018-07-17,11.4347,MA,19,0.019802,0.016157,488
sh.600095,2020-02-05,22.4196,2020-02-18,26.0634,MA,10,0.162531,0.158672,673
sh.600095,2022-04-28,17.6413,2022-05-18,19.6575,MA,12,0.114286,0.110481,1476
sh.600096,2018-06-21,9.646,2018-06-22,8.8743,STOP,2,-0.08,-0.083417,488
sh.600096,2018-06-27,9.1564,2018-07-17,9.1745,MA,15,0.00198,-0.001615,70
sh.600097,2018-06-25,11.1779,2018-07-06,10.2837,STOP,10,-0.08,-0.083498,140
sh.600097,2021-02-09,9.0065,2021-02-23,9.7728,MA,6,0.085082,0.081445,62
sh.600097,2022-04-28,9.6699,2022-05-23,10.2262,MA,15,0.057522,0.053902,1476
sh.600097,2024-02-26,9.1236,2024-03-05,8.3937,STOP,7,-0.08,-0.083476,90
sh.600099,2018-02-09,14.6712,2018-03-06,16.9506,MA,13,0.155367,0.151498,322
sh.600099,2018-06-27,13.8423,2018-07-05,12.7349,STOP,7,-0.08,-0.083412,70
sh.600099,2018-07-09,13.6144,2018-07-11,12.5252,STOP,3,-0.08,-0.083429,85
sh.600099,2018-10-22,11.2521,2018-11-01,12.0602,MA,9,0.071823,0.068105,346
sh.600099,2019-05-09,14.6919,2019-05-30,16.101,MA,16,0.09591,0.092131,195
sh.600099,2022-04-28,14.3557,2022-05-19,15.5433,MA,13,0.082729,0.078944,1476
sh.600100,2018-06-21,127.8396,2018-07-13,138.4562,MA,17,0.083046,0.079639,488
sh.600100,2022-04-28,64.5593,2022-05-24,68.4298,MA,16,0.059952,0.055813,1476
sh.600100,2025-04-10,109.9211,2025-05-07,112.7078,MA,17,0.025352,0.021904,588
sh.600101,2020-02-05,33.4208,2020-02-18,37.8029,MA,10,0.131119,0.126926,673
sh.600101,2024-02-07,36.5654,2024-02-26,42.7906,MA,8,0.170248,0.166125,1493
sh.600103,2026-05-29,19.1549,2026-06-02,17.6225,STOP,3,-0.08,-0.083424,51
